Trade Date	High	Low	Open	Close	Volume	Prev. Close	Total Turnover	Num. Of Trans.
1/4/2014	36,050	34,850	35,750	35,000	39220383	35,750	27650801,340	4651
2/4/2014	35,500	34,750	35,000	34,750	44966039	35,000	31528212,330	4697
3/4/2014	36,600	34,950	35,150	36,450	96996853	34,750	69841091,340	7764
4/4/2014	36,750	35,700	36,000	36,000	95330531	36,450	68848296,910	6863
7/4/2014	37,000	35,550	36,000	37,000	206712955	36,000	151830358,590	8735
8/4/2014	36,850	35,500	36,650	36,150	56457096	37,000	40691540,870	4727
9/4/2014	36,300	35,350	36,100	36,000	83269337	36,150	59873546,590	4540
10/4/2014	36,650	35,900	36,500	36,650	36190473	36,000	26383184,770	3053
11/4/2014	36,500	35,050	36,500	35,050	34778519	36,650	24703970,010	3461
14/4/2014	35,350	33,800	34,850	34,200	40054263	35,050	27585579,160	4157
15/4/2014	35,350	33,850	34,850	33,850	43724360	34,200	29944192,840	3025
16/4/2014	34,650	33,750	34,000	34,500	31830120	33,850	21731299,600	2310
17/4/2014	35,000	34,500	34,850	34,750	13738999	34,500	9545045,180	1510
22/4/2014	35,050	34,200	35,050	34,250	9108902	34,750	6277299,770	1653
23/4/2014	34,950	33,950	34,500	33,950	38816448	34,250	26770176,250	2888
24/4/2014	34,350	33,650	33,950	34,000	10302523	33,950	7004495,370	1356
25/4/2014	34,650	34,000	34,000	34,350	16549738	34,000	11365319,420	1684
28/4/2014	34,500	33,700	34,500	33,700	11833456	34,350	8043452,450	1544
29/4/2014	34,150	33,550	33,650	33,750	19481169	33,700	13135630,070	1481
30/4/2014	35,050	33,850	34,000	34,850	46207630	33,750	31860418,110	3697
2/5/2014	35,400	34,750	35,000	35,150	21740492	34,850	15249766,070	1950
5/5/2014	35,350	34,600	35,000	35,250	11156113	35,150	7835742,710	1116
6/5/2014	35,250	34,500	35,250	34,500	8547718	35,250	5961986,320	1187
7/5/2014	34,550	34,200	34,500	34,400	23411551	34,500	16112805,830	1381
8/5/2014	35,000	34,300	34,700	34,800	18145548	34,400	12603987,540	1177
9/5/2014	34,600	32,500	34,550	32,500	59218030	34,800	39866873,090	3193
12/5/2014	32,950	31,750	32,900	31,800	28863666	32,500	18616736,220	3333
