Trade Date	High	Low	Open	Close	Volume	Prev. Close	Total Turnover	Num. Of Trans.
1/4/2014	612,469	591,556	597,531	606,494	1652854	588,568	6673451,000	1839
2/4/2014	612,469	599,025	609,481	610,975	735407	606,494	2984138,920	1061
3/4/2014	618,444	600,519	615,457	606,494	1338006	610,975	5457477,470	1244
4/4/2014	609,481	591,556	600,519	597,531	758829	606,494	3038198,480	1169
7/4/2014	603,506	584,086	594,543	585,580	796490	597,531	3150081,600	877
8/4/2014	594,543	579,605	588,568	590,062	716355	585,580	2820711,960	880
9/4/2014	602,012	585,580	597,531	587,074	813350	590,062	3221394,920	861
10/4/2014	605,000	587,074	602,012	597,531	2590873	587,074	10336585,640	1761
11/4/2014	587,074	554,210	587,074	554,210	2280331	597,531	8611018,280	2325
14/4/2014	504,914	463,086	481,012	486,988	5311321	554,210	17254577,000	4780
15/4/2014	503,420	451,136	489,975	454,123	3705602	486,988	11624879,770	3187
16/4/2014	463,086	443,667	463,086	443,667	2061996	454,123	6210779,400	2192
17/4/2014	476,531	448,148	454,123	469,062	2127866	443,667	6595541,670	1782
22/4/2014	484,000	472,049	476,531	475,037	807042	469,062	2577966,670	1049
23/4/2014	479,519	455,617	479,519	455,617	901189	475,037	2789237,680	1131
24/4/2014	470,556	457,111	463,086	463,086	1677779	455,617	5195700,170	1532
25/4/2014	458,605	439,185	458,605	439,185	1367752	463,086	4054243,230	1688
28/4/2014	445,160	416,778	445,160	425,741	2194970	439,185	6214613,750	1678
29/4/2014	428,728	409,309	419,765	428,728	1904522	425,741	5329713,520	1544
30/4/2014	431,716	410,802	430,222	418,272	1563713	428,728	4391076,300	1476
2/5/2014	428,728	416,778	425,741	419,765	1891361	418,272	5336079,910	1457
5/5/2014	440,679	424,247	425,741	427,235	1595512	419,765	4606155,360	1435
6/5/2014	437,691	409,309	430,222	419,765	2417865	427,235	6829799,220	1747
7/5/2014	422,753	404,827	421,259	406,321	1741366	419,765	4773872,530	1435
8/5/2014	409,309	383,914	401,840	385,407	5644799	406,321	14884666,520	3987
9/5/2014	389,889	365,988	385,407	379,432	7187247	385,407	18027923,970	4122
12/5/2014	397,358	371,963	383,914	392,877	3394152	379,432	8726757,810	2265
13/5/2014	403,333	368,975	395,864	373,457	9970582	392,877	25613658,480	4552
14/5/2014	364,494	357,025	364,494	361,506	16645638	373,457	40263045,220	5375
15/5/2014	334,617	307,728	334,617	322,667	82122701	361,506	176544821,560	14780
16/5/2014	321,173	312,210	316,691	316,691	39734809	322,667	84750576,860	7667
19/5/2014	322,667	309,222	322,667	315,198	74046321	316,691	158148508,800	9907
20/5/2014	325,654	295,778	310,716	319,679	58297227	315,198	123422303,240	10267
21/5/2014	334,617	319,679	322,667	327,148	38010504	319,679	83534720,220	5552
22/5/2014	334,617	324,160	331,630	334,617	27873238	327,148	61363056,220	3812
23/5/2014	342,086	334,617	336,111	342,086	25943659	334,617	58904407,120	4469
26/5/2014	361,506	348,062	348,062	361,506	27994858	342,086	66470234,630	5125
27/5/2014	371,963	357,025	363,000	367,481	34096785	361,506	83257501,410	7105
28/5/2014	379,432	363,000	367,481	367,481	28838653	367,481	71388059,520	5187
29/5/2014	380,926	371,963	374,951	376,444	36980290	367,481	93056249,310	6425
30/5/2014	391,383	376,444	380,926	391,383	124665801	376,444	324593513,090	7528
2/6/2014	397,358	385,407	394,370	386,901	23424259	391,383	61521267,960	3907
3/6/2014	395,864	380,926	385,407	380,926	17560021	386,901	45710576,380	3973
4/6/2014	391,383	382,420	385,407	389,889	16302978	380,926	42209074,170	3217
5/6/2014	416,778	392,877	395,864	410,802	39588405	389,889	106731168,770	5721
6/6/2014	433,210	416,778	416,778	433,210	58708151	410,802	166400049,220	6714
10/6/2014	463,086	427,235	458,605	427,235	29213530	433,210	85963824,920	5845
11/6/2014	424,247	404,827	422,753	415,284	29882458	427,235	82817545,260	6113
12/6/2014	424,247	407,815	412,296	418,272	13469892	415,284	37424825,480	3173
13/6/2014	421,259	398,852	415,284	403,333	18536473	418,272	50285891,580	4418
16/6/2014	410,802	401,840	407,815	410,802	9791261	403,333	26672267,260	2908
17/6/2014	418,272	407,815	410,802	412,296	11470613	410,802	31688274,750	2187
18/6/2014	418,272	407,815	413,790	413,790	12132873	412,296	33491824,710	2402
19/6/2014	427,235	416,778	418,272	427,235	14065405	413,790	39868860,360	3123
20/6/2014	427,235	422,753	424,247	424,247	8094787	427,235	23028748,800	1507
23/6/2014	425,741	412,296	421,259	421,259	7004797	424,247	19693093,540	2186
24/6/2014	421,259	406,321	421,259	410,802	9720365	421,259	26815058,510	2196
25/6/2014	407,815	386,901	403,333	391,383	19828649	410,802	52484730,570	4049
26/6/2014	401,840	391,383	395,864	400,346	11841495	391,383	31490579,520	1967
27/6/2014	407,815	392,877	403,333	394,370	13627780	400,346	36479345,450	2938
30/6/2014	403,333	394,370	397,358	398,852	7005033	394,370	18662199,650	1245
1/7/2014	410,802	400,346	403,333	409,309	16900115	398,852	45753414,110	2376
2/7/2014	424,247	412,296	412,296	418,272	10825287	409,309	30266090,400	2063
3/7/2014	424,247	412,296	421,259	421,259	7202128	418,272	20221285,970	1506
4/7/2014	422,753	410,802	416,778	410,802	6051429	421,259	16962637,400	1266
7/7/2014	416,778	407,815	413,790	407,815	6189106	410,802	17052737,670	1670
8/7/2014	409,309	383,914	404,827	388,395	12687075	407,815	33300843,200	3441
9/7/2014	389,889	371,963	388,395	376,444	17867929	388,395	45231889,250	5032
10/7/2014	382,420	354,037	380,926	363,000	13911909	376,444	34049441,740	3165
11/7/2014	379,432	365,988	368,975	368,975	6155142	363,000	15395483,850	2145
14/7/2014	382,420	371,963	374,951	382,420	3550554	368,975	9006628,760	1503
15/7/2014	391,383	376,444	380,926	379,432	6887992	382,420	17754997,840	1759
16/7/2014	388,395	373,457	382,420	388,395	4086752	379,432	10448237,310	1231
17/7/2014	389,889	379,432	388,395	383,914	3374167	388,395	8680668,940	1207
18/7/2014	382,420	367,481	376,444	370,469	9050067	383,914	22661963,090	1704
21/7/2014	373,457	358,519	373,457	361,506	10076124	370,469	24410223,190	2291
22/7/2014	365,988	355,531	361,506	360,012	8988949	361,506	21646760,130	2104
23/7/2014	365,988	360,012	363,000	360,012	5092280	360,012	12361924,520	1084
24/7/2014	368,975	357,025	357,025	368,975	8826261	360,012	21455052,360	1312
25/7/2014	392,877	374,951	374,951	385,407	11967897	368,975	30937182,340	2693
28/7/2014	389,889	379,432	388,395	383,914	3923073	385,407	10088638,030	1228
29/7/2014	383,914	374,951	383,914	374,951	5004928	383,914	12669801,800	1170
30/7/2014	373,457	363,000	371,963	368,975	4534998	374,951	11191547,190	1575
31/7/2014	371,963	357,025	370,469	360,012	8429502	368,975	20421782,930	2028
1/8/2014	361,506	346,568	357,025	358,519	8137467	360,012	19345407,380	2842
4/8/2014	364,494	343,580	363,000	348,062	7517713	358,519	17699131,860	2265
5/8/2014	355,531	336,111	348,062	339,099	16474995	348,062	38224138,350	3488
6/8/2014	337,605	315,198	337,605	333,123	34585784	339,099	76255003,660	7100
7/8/2014	346,568	321,173	328,642	343,580	9596635	333,123	21535682,760	2610
8/8/2014	343,580	327,148	331,630	330,136	8184928	343,580	18300921,310	2152
11/8/2014	346,568	331,630	346,568	337,605	7066590	330,136	15972151,020	2121
12/8/2014	358,519	339,099	339,099	351,049	8083763	337,605	19097839,660	2453
13/8/2014	360,012	349,556	351,049	355,531	5387881	351,049	12823286,790	1933
14/8/2014	361,506	354,037	360,012	358,519	6524025	355,531	15612996,030	1420
18/8/2014	365,988	340,593	365,988	346,568	5299990	358,519	12400250,290	1717
19/8/2014	365,988	345,074	351,049	365,988	4677948	346,568	11157792,380	1502
20/8/2014	374,951	361,506	367,481	370,469	6315314	365,988	15626599,690	1816
21/8/2014	385,407	367,481	370,469	385,407	8495796	370,469	21682332,750	1836
22/8/2014	395,864	382,420	388,395	391,383	7760050	385,407	20241900,270	2000
25/8/2014	391,383	385,407	391,383	388,395	3375134	391,383	8775673,310	1099
26/8/2014	407,815	385,407	391,383	407,815	9967834	388,395	26483531,490	2289
27/8/2014	410,802	398,852	407,815	400,346	9235742	407,815	24980334,650	2303
28/8/2014	401,840	385,407	397,358	394,370	7368742	400,346	19444885,150	2076
29/8/2014	403,333	388,395	395,864	389,889	6153364	394,370	16311717,200	1807
1/9/2014	397,358	377,938	385,407	392,877	3496102	389,889	9088268,240	1526
2/9/2014	398,852	379,432	394,370	380,926	4413434	392,877	11521410,740	1513
3/9/2014	388,395	374,951	383,914	386,901	6748704	380,926	17303874,630	1903
4/9/2014	404,827	380,926	388,395	404,827	9222155	386,901	24451691,550	2322
5/9/2014	410,802	400,346	404,827	409,309	10446057	404,827	28461610,710	2712
8/9/2014	410,802	398,852	409,309	401,840	5381879	409,309	14535391,710	1567
9/9/2014	403,333	383,914	397,358	383,914	5135344	401,840	13485889,490	2156
10/9/2014	388,395	374,951	382,420	383,914	5936892	383,914	15177736,300	2009
11/9/2014	392,877	382,420	385,407	388,395	4656083	383,914	12096793,510	1418
12/9/2014	391,383	380,926	388,395	380,926	3763097	388,395	9673752,660	1361
15/9/2014	385,407	379,432	382,420	380,926	2905145	380,926	7428219,570	939
16/9/2014	382,420	365,988	380,926	365,988	8222563	380,926	20551455,530	2333
17/9/2014	377,938	364,494	370,469	365,988	8796882	365,988	21737349,920	1646
18/9/2014	373,457	357,025	365,988	358,519	10587223	365,988	25691899,200	2348
19/9/2014	374,951	352,543	363,000	365,988	17085169	358,519	41684944,580	3282
22/9/2014	363,000	354,037	363,000	354,037	6609509	365,988	15847018,000	2214
23/9/2014	355,531	343,580	352,543	345,074	8085923	354,037	18849525,440	2380
24/9/2014	354,037	342,086	351,049	354,037	5245339	345,074	12205175,210	1830
25/9/2014	365,988	349,556	364,494	351,049	9248358	354,037	22113461,080	2654
26/9/2014	357,025	346,568	348,062	348,062	4613955	351,049	10851872,690	1913
29/9/2014	354,037	336,111	346,568	340,593	6010264	348,062	13820461,070	2521
30/9/2014	352,543	334,617	343,580	346,568	8983034	340,593	20741914,740	2243
1/10/2014	365,988	346,568	355,531	349,556	8028526	346,568	19132754,630	2375
2/10/2014	363,000	336,111	352,543	339,099	8678721	349,556	20268757,220	2467
3/10/2014	342,086	327,148	340,593	336,111	12170566	339,099	27158406,850	2906
6/10/2014	342,086	327,148	336,111	327,148	4309412	336,111	9608573,940	1574
7/10/2014	328,642	309,222	328,642	312,210	11649880	327,148	24798616,620	3783
8/10/2014	315,198	297,272	306,235	309,222	16795054	312,210	34455506,270	4310
9/10/2014	328,642	313,704	318,185	328,642	9808168	309,222	21213894,340	3106
10/10/2014	331,630	319,679	321,173	327,148	11818129	328,642	25782784,790	2463
13/10/2014	334,617	324,160	327,148	328,642	5751299	327,148	12654375,840	1502
14/10/2014	327,148	309,222	322,667	310,716	14615620	328,642	30900908,550	3366
15/10/2014	313,704	268,889	312,210	276,358	30979139	310,716	59874633,840	7530
16/10/2014	285,321	268,889	283,827	279,346	21002248	276,358	38975506,050	6272
17/10/2014	304,741	283,827	286,815	304,741	12522149	279,346	24867708,520	4205
20/10/2014	315,198	297,272	310,716	306,235	5750375	304,741	11806017,640	2790
21/10/2014	328,642	298,765	304,741	325,654	11159126	306,235	23786730,110	3933
22/10/2014	342,086	325,654	333,123	342,086	13629915	325,654	30578913,990	3372
23/10/2014	342,086	327,148	334,617	339,099	5769668	342,086	12944549,940	2242
24/10/2014	354,037	340,593	345,074	345,074	10822988	339,099	25119858,390	3094
27/10/2014	363,000	313,704	358,519	318,185	16867925	345,074	37976946,060	4870
29/10/2014	325,654	294,284	322,667	298,765	17395375	318,185	35579372,680	5723
30/10/2014	301,753	268,889	295,778	282,333	30655702	298,765	57245987,580	8329
31/10/2014	291,296	279,346	288,309	286,815	12338710	282,333	23560877,590	3566
3/11/2014	292,790	280,840	288,309	292,790	5553345	286,815	10702522,180	1739
4/11/2014	304,741	294,284	295,778	294,284	6434800	292,790	12871180,930	2228
5/11/2014	303,247	291,296	294,284	300,259	4043431	294,284	8062085,860	1937
6/11/2014	307,728	295,778	303,247	298,765	5395176	300,259	10876440,000	1832
7/11/2014	298,765	267,395	294,284	271,877	15051966	298,765	28127199,000	4552
10/11/2014	274,864	259,926	274,864	262,914	10547910	271,877	18769020,000	3141
11/11/2014	270,383	253,951	267,395	255,444	6735476	262,914	11707075,000	3024
12/11/2014	255,444	237,519	255,444	240,506	17291409	255,444	28324691,000	4407
13/11/2014	255,444	239,012	243,494	253,951	16740281	240,506	27594605,000	2681
14/11/2014	259,926	250,963	256,938	253,951	7002088	253,951	11972216,000	1952
17/11/2014	256,938	247,975	253,951	253,951	4763058	253,951	8090882,000	1330
18/11/2014	265,901	253,951	255,444	261,420	9776868	253,951	17035463,000	1930
19/11/2014	286,815	262,914	262,914	277,852	9064801	261,420	16610862,000	2997
20/11/2014	280,840	271,877	277,852	276,358	6239804	277,852	11521423,000	1896
21/11/2014	300,259	274,864	279,346	292,790	14357050	276,358	27885240,000	3857
24/11/2014	301,753	286,815	289,802	295,778	9713614	292,790	19165809,000	2476
25/11/2014	297,272	279,346	295,778	283,827	5692308	295,778	11054129,000	1778
26/11/2014	286,815	270,383	283,827	280,840	7167374	283,827	13413429,000	2274
27/11/2014	279,346	267,395	277,852	277,852	7628531	280,840	13947334,000	1758
28/11/2014	289,802	276,358	279,346	286,815	5433821	277,852	10420192,000	1522
1/12/2014	294,284	283,827	283,827	289,802	4705585	286,815	9143078,000	1317
2/12/2014	304,741	283,827	283,827	294,284	5822183	289,802	11565108,000	2152
3/12/2014	312,210	291,296	294,284	304,741	9834733	294,284	19948846,000	2839
4/12/2014	309,222	289,802	304,741	289,802	8768032	304,741	17635708,000	2409
5/12/2014	301,753	291,296	291,296	300,259	5987278	289,802	11978724,000	1773
8/12/2014	312,210	300,259	301,753	306,235	4675505	300,259	9590139,000	1677
9/12/2014	286,815	243,494	286,815	243,494	16801944	306,235	29344956,000	4465
10/12/2014	244,988	221,086	239,012	239,012	15231528	243,494	23828594,000	4728
11/12/2014	242,000	206,148	237,519	216,605	21772058	239,012	32257665,000	4433
12/12/2014	225,568	209,136	210,630	218,099	12331981	216,605	18185487,000	2797
15/12/2014	227,062	218,099	222,580	218,099	8709476	218,099	12961717,000	1965
16/12/2014	231,543	216,605	224,074	216,605	14762110	218,099	22122840,000	2525
17/12/2014	228,556	216,605	219,593	225,568	7880246	216,605	11821622,000	1716
18/12/2014	236,025	216,605	230,049	236,025	11373431	225,568	17343957,000	2505
19/12/2014	237,519	227,062	236,025	227,062	9290577	236,025	14357141,000	1830
