Trade Date	High	Low	Open	Close	Volume	Prev. Close	Total Turnover	Num. Of Trans.
23/12/2015	0,540	0,530	0,540	0,530	17644	0,540	18288,000	3
28/7/2016	0,000	0,000	0,000	0,500	0	0,500	0,000	0
29/9/2016	0,000	0,000	0,000	0,500	0	0,500	0,000	0
30/9/2016	0,800	0,800	0,800	0,800	4	0,800	2,000	1
19/12/2017	0,930	0,920	0,930	0,950	2007437	0,950	1554041,000	49
25/6/2018	0,000	0,000	0,000	0,838	0	0,840	0,000	0
16/7/2018	0,000	0,000	0,000	0,859	0	0,860	0,000	0
17/7/2018	0,000	0,000	0,000	0,509	0	0,510	0,000	0
7/1/2019	0,000	0,000	0,000	0,516	0	0,520	0,000	0
8/1/2019	0,000	0,000	0,000	0,620	0	0,620	0,000	0
27/2/2019	0,640	0,640	0,640	0,641	50000	0,650	30375,000	1
26/3/2019	0,622	0,622	0,622	0,622	10	0,641	6,000	1
