Trade Date	High	Low	Open	Close	Volume	Prev. Close	Total Turnover	Num. Of Trans.
1/4/2014	4,150	4,020	4,050	4,050	252222	4,000	1027123,630	671
2/4/2014	4,110	4,000	4,050	4,040	120390	4,050	488418,390	386
3/4/2014	4,070	3,910	4,010	3,910	171690	4,040	681526,740	396
4/4/2014	4,000	3,850	3,910	3,890	129790	3,910	509133,650	452
7/4/2014	3,990	3,890	3,900	3,890	91836	3,890	361690,880	231
8/4/2014	3,940	3,820	3,900	3,900	71782	3,890	278096,220	264
9/4/2014	3,950	3,820	3,910	3,840	142513	3,900	549572,410	439
10/4/2014	3,900	3,700	3,900	3,720	164553	3,840	625136,390	513
11/4/2014	3,800	3,580	3,720	3,630	304565	3,720	1117998,330	803
14/4/2014	3,670	3,500	3,580	3,500	171490	3,630	612520,380	546
15/4/2014	3,620	3,470	3,550	3,490	164848	3,500	581878,730	610
16/4/2014	3,700	3,470	3,560	3,700	153122	3,490	548304,140	522
17/4/2014	3,800	3,700	3,720	3,760	189131	3,700	711086,070	521
22/4/2014	3,850	3,760	3,760	3,840	152119	3,760	580892,910	333
23/4/2014	3,850	3,710	3,850	3,730	200726	3,840	761664,340	355
24/4/2014	3,770	3,630	3,730	3,760	149811	3,730	557636,060	317
25/4/2014	3,770	3,700	3,750	3,770	53937	3,760	201141,790	158
28/4/2014	3,770	3,540	3,770	3,660	317318	3,770	1153008,800	645
29/4/2014	3,720	3,600	3,660	3,690	101684	3,660	371845,190	329
30/4/2014	3,790	3,630	3,630	3,760	115227	3,690	431992,580	340
2/5/2014	3,820	3,680	3,760	3,700	143452	3,760	536106,890	433
5/5/2014	3,740	3,650	3,700	3,670	55539	3,700	204080,450	201
6/5/2014	3,680	3,570	3,650	3,670	104119	3,670	378798,740	281
7/5/2014	3,740	3,630	3,670	3,720	93670	3,670	346878,440	253
8/5/2014	3,770	3,680	3,750	3,710	49536	3,720	184194,750	184
9/5/2014	3,750	3,560	3,750	3,560	137157	3,710	498437,250	463
12/5/2014	3,550	3,370	3,550	3,450	239057	3,560	825359,800	833
13/5/2014	3,520	3,310	3,450	3,380	188029	3,450	638870,540	668
14/5/2014	3,450	3,360	3,370	3,420	181759	3,380	620057,650	573
15/5/2014	3,520	3,270	3,460	3,300	293054	3,420	994435,430	1045
16/5/2014	3,370	3,080	3,320	3,090	377826	3,300	1208085,700	967
19/5/2014	3,300	3,100	3,180	3,100	268007	3,090	854815,050	840
20/5/2014	3,390	3,100	3,100	3,390	132825	3,100	441369,440	502
21/5/2014	3,440	3,360	3,400	3,370	103363	3,390	350541,840	329
22/5/2014	3,420	3,320	3,410	3,380	92997	3,370	313773,380	400
23/5/2014	3,540	3,300	3,380	3,540	222829	3,380	763324,050	569
26/5/2014	3,740	3,530	3,580	3,720	380649	3,540	1384706,670	861
27/5/2014	3,820	3,690	3,730	3,800	300500	3,720	1133829,230	694
28/5/2014	3,840	3,750	3,810	3,780	182976	3,800	695454,830	656
29/5/2014	3,800	3,680	3,780	3,690	204798	3,780	760474,280	905
30/5/2014	3,800	3,650	3,690	3,650	488824	3,690	1802432,170	635
2/6/2014	3,820	3,710	3,720	3,720	341810	3,650	1286062,500	686
3/6/2014	3,750	3,670	3,720	3,670	82408	3,720	305566,710	299
4/6/2014	3,740	3,650	3,670	3,730	106119	3,670	392643,850	294
5/6/2014	3,840	3,740	3,760	3,800	231998	3,730	882049,310	580
6/6/2014	3,850	3,720	3,800	3,770	172206	3,800	650634,890	449
10/6/2014	3,880	3,780	3,830	3,880	187154	3,770	717429,330	505
11/6/2014	4,000	3,830	3,880	3,960	435432	3,880	1705729,780	927
12/6/2014	4,030	3,920	3,920	3,980	179032	3,960	714240,440	365
13/6/2014	3,950	3,820	3,930	3,850	132076	3,980	510023,690	435
16/6/2014	3,870	3,750	3,850	3,760	97247	3,850	369311,110	377
17/6/2014	3,800	3,700	3,800	3,730	65840	3,760	246528,310	344
18/6/2014	3,810	3,700	3,730	3,810	90386	3,730	339186,960	383
19/6/2014	3,970	3,820	3,830	3,960	264729	3,810	1036624,620	596
20/6/2014	4,010	3,930	3,930	4,000	192117	3,960	763465,820	533
23/6/2014	4,000	3,880	4,000	3,880	147869	4,000	583209,510	338
24/6/2014	3,920	3,820	3,850	3,850	134923	3,880	521876,630	393
25/6/2014	3,900	3,790	3,850	3,830	118103	3,850	454168,250	412
26/6/2014	3,890	3,800	3,830	3,810	50921	3,830	195798,750	285
27/6/2014	3,810	3,660	3,800	3,690	202887	3,810	755788,680	633
30/6/2014	3,770	3,680	3,690	3,700	124156	3,690	462144,720	311
1/7/2014	3,830	3,720	3,720	3,820	217161	3,700	824816,840	398
2/7/2014	3,880	3,800	3,840	3,850	224375	3,820	863355,580	414
3/7/2014	3,870	3,800	3,850	3,870	129665	3,850	495640,350	303
