Trade Date	High	Low	Open	Close	Volume	Prev. Close	Total Turnover	Num. Of Trans.
1/4/2014	1,910	1,910	1,910	1,910	380	1,970	725,800	2
2/4/2014	1,970	1,930	1,960	1,930	5882	1,910	11392,170	9
3/4/2014	1,960	1,870	1,930	1,880	4392	1,930	8451,850	20
4/4/2014	1,940	1,860	1,940	1,860	1270	1,880	2368,400	3
7/4/2014	1,940	1,900	1,900	1,910	1284	1,860	2448,160	5
8/4/2014	1,950	1,900	1,950	1,900	2189	1,910	4210,190	7
9/4/2014	1,860	1,850	1,860	1,850	367	1,900	680,950	3
10/4/2014	1,870	1,870	1,870	1,870	1000	1,850	1870,000	2
11/4/2014	1,840	1,840	1,840	1,840	720	1,870	1324,800	1
14/4/2014	1,840	1,790	1,820	1,800	3765	1,840	6801,000	8
15/4/2014	1,770	1,750	1,750	1,750	370	1,800	647,900	7
16/4/2014	1,750	1,680	1,750	1,750	10760	1,750	18590,010	23
17/4/2014	1,760	1,760	1,760	1,760	1000	1,750	1760,000	1
22/4/2014	1,870	1,770	1,870	1,780	60	1,760	111,250	3
23/4/2014	1,760	1,760	1,760	1,760	500	1,780	880,000	1
24/4/2014	1,760	1,670	1,760	1,670	1716	1,760	2900,120	5
25/4/2014	1,700	1,690	1,690	1,700	1720	1,670	2914,000	3
28/4/2014	0,000	0,000	0,000	1,700	0	1,700	0,000	0
29/4/2014	1,700	1,680	1,680	1,690	925	1,700	1568,940	7
30/4/2014	1,830	1,700	1,700	1,830	450	1,690	771,300	4
2/5/2014	1,690	1,690	1,690	1,690	2000	1,830	3380,000	4
5/5/2014	1,700	1,700	1,700	1,700	217	1,690	368,900	3
6/5/2014	1,700	1,680	1,680	1,700	1394	1,700	2363,920	8
7/5/2014	1,730	1,680	1,720	1,730	2948	1,700	5092,660	12
8/5/2014	1,750	1,680	1,700	1,720	439	1,730	746,920	6
9/5/2014	1,780	1,670	1,670	1,780	5734	1,720	9733,960	11
12/5/2014	1,700	1,680	1,690	1,680	7843	1,780	13240,190	13
13/5/2014	1,690	1,690	1,690	1,690	780	1,680	1318,200	3
14/5/2014	0,000	0,000	0,000	1,690	0	1,690	0,000	0
15/5/2014	1,750	1,660	1,670	1,660	8395	1,690	14003,290	9
16/5/2014	1,800	1,660	1,670	1,800	12178	1,660	20332,980	12
19/5/2014	1,790	1,750	1,750	1,760	2304	1,800	4068,720	10
20/5/2014	1,780	1,680	1,780	1,780	1707	1,760	3024,780	5
21/5/2014	1,710	1,710	1,710	1,710	150	1,780	256,500	1
22/5/2014	1,740	1,670	1,700	1,740	2750	1,710	4625,510	6
23/5/2014	1,740	1,720	1,740	1,720	500	1,740	865,000	5
26/5/2014	1,740	1,680	1,680	1,730	1863	1,720	3180,710	6
27/5/2014	1,780	1,700	1,780	1,730	2886	1,730	4962,810	10
28/5/2014	1,730	1,680	1,690	1,690	3122	1,730	5262,260	8
29/5/2014	1,710	1,690	1,690	1,710	1076	1,690	1830,600	5
30/5/2014	1,720	1,720	1,720	1,720	284	1,710	488,480	2
2/6/2014	1,880	1,720	1,720	1,880	104963	1,720	195107,320	51
3/6/2014	1,950	1,830	1,890	1,920	6208	1,880	11808,600	18
4/6/2014	1,950	1,950	1,950	1,950	1000	1,920	1950,000	3
5/6/2014	1,950	1,870	1,950	1,880	2855	1,950	5414,400	15
6/6/2014	0,000	0,000	0,000	1,880	0	1,880	0,000	0
10/6/2014	1,850	1,830	1,850	1,830	3545	1,880	6537,250	7
11/6/2014	1,810	1,780	1,800	1,810	1380	1,830	2473,400	7
12/6/2014	1,820	1,770	1,800	1,810	2155	1,810	3854,240	13
13/6/2014	1,840	1,770	1,840	1,830	2130	1,810	3813,800	6
16/6/2014	1,810	1,780	1,780	1,800	5066	1,830	9093,440	14
17/6/2014	0,000	0,000	0,000	1,800	0	1,800	0,000	0
18/6/2014	1,800	1,770	1,790	1,800	1595	1,800	2860,510	7
19/6/2014	1,770	1,770	1,770	1,770	250	1,800	442,500	1
20/6/2014	1,800	1,760	1,770	1,800	2272	1,770	4087,170	5
23/6/2014	1,800	1,760	1,760	1,800	2102	1,800	3749,340	7
24/6/2014	1,800	1,750	1,750	1,770	1100	1,800	1933,000	5
25/6/2014	0,000	0,000	0,000	1,770	0	1,770	0,000	0
26/6/2014	1,800	1,760	1,760	1,790	3568	1,770	6391,230	6
27/6/2014	1,770	1,730	1,770	1,740	9200	1,790	16128,360	11
30/6/2014	1,790	1,790	1,790	1,790	300	1,740	537,000	1
1/7/2014	1,830	1,820	1,830	1,820	200	1,790	364,500	2
2/7/2014	1,820	1,810	1,820	1,820	2100	1,820	3812,000	3
3/7/2014	1,830	1,770	1,830	1,770	900	1,820	1641,000	3
4/7/2014	1,740	1,740	1,740	1,740	1	1,770	1,740	1
7/7/2014	1,800	1,800	1,800	1,800	599	1,740	1078,200	2
8/7/2014	1,800	1,800	1,800	1,800	765	1,800	1377,000	1
9/7/2014	1,780	1,740	1,780	1,780	900	1,800	1588,280	4
10/7/2014	1,760	1,660	1,740	1,670	23122	1,780	39057,940	28
11/7/2014	1,700	1,670	1,680	1,700	300	1,670	508,340	5
14/7/2014	1,760	1,730	1,750	1,750	12414	1,700	21548,510	11
15/7/2014	1,810	1,700	1,810	1,750	52186	1,750	88817,500	18
16/7/2014	1,750	1,720	1,720	1,720	1004	1,750	1740,140	4
17/7/2014	1,740	1,720	1,740	1,720	5000	1,720	8627,000	8
18/7/2014	1,750	1,700	1,710	1,700	3140	1,720	5361,000	8
21/7/2014	1,700	1,690	1,700	1,690	931	1,700	1579,940	8
22/7/2014	1,800	1,700	1,730	1,800	2102	1,690	3703,400	5
23/7/2014	1,790	1,700	1,700	1,790	1843	1,800	3226,010	7
24/7/2014	1,810	1,810	1,810	1,810	1	1,790	1,810	1
25/7/2014	1,820	1,820	1,820	1,820	200	1,810	364,000	1
28/7/2014	0,000	0,000	0,000	1,820	0	1,820	0,000	0
29/7/2014	1,770	1,710	1,710	1,770	1600	1,820	2800,000	4
30/7/2014	1,800	1,800	1,800	1,800	141	1,770	253,800	1
31/7/2014	0,000	0,000	0,000	1,800	0	1,800	0,000	0
1/8/2014	0,000	0,000	0,000	1,800	0	1,800	0,000	0
4/8/2014	1,780	1,710	1,720	1,780	1050	1,800	1816,000	10
5/8/2014	1,790	1,780	1,780	1,780	9000	1,780	16029,190	17
6/8/2014	1,830	1,780	1,780	1,830	1000	1,780	1814,800	3
7/8/2014	1,780	1,780	1,780	1,780	68	1,830	121,040	1
8/8/2014	1,770	1,740	1,770	1,740	530	1,780	934,200	4
11/8/2014	0,000	0,000	0,000	1,740	0	1,740	0,000	0
12/8/2014	0,000	0,000	0,000	1,740	0	1,740	0,000	0
13/8/2014	1,750	1,750	1,750	1,750	2000	1,740	3500,000	2
14/8/2014	0,000	0,000	0,000	1,750	0	1,750	0,000	0
18/8/2014	1,820	1,820	1,820	1,820	134	1,750	243,880	2
19/8/2014	1,740	1,740	1,740	1,740	1000	1,820	1740,000	1
20/8/2014	0,000	0,000	0,000	1,740	0	1,740	0,000	0
21/8/2014	1,780	1,740	1,780	1,740	2176	1,740	3869,640	3
22/8/2014	1,740	1,700	1,710	1,740	2156	1,740	3710,420	8
25/8/2014	1,770	1,720	1,730	1,770	1572	1,740	2721,000	6
26/8/2014	1,840	1,720	1,810	1,780	59999	1,770	105159,920	66
